id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
0,none,0.393691560768625,0.0001,260,719,8,888,693,6,5,7,0.05488773105459534,88.25326506264771,0.30637288093566895
1,elasticnet,0.654140602221102,0.01,586,172,2,210,159,10,3,10,0.07954062490581527,9.841284021472056,0.9030294418334961
2,elasticnet,0.8510197133877198,0.01,518,426,1,788,531,7,4,8,0.053866663593257695,69.5682466087699,10.453464269638062
3,none,0.8533691456044985,0.0001,893,401,1,181,204,4,2,7,0.04188828051844404,53.84315843385217,0.18430161476135254
4,elasticnet,0.4849629512383904,0.01,400,894,8,561,323,9,5,12,0.06466512998270228,82.30042000320509,1.1060376167297363
5,elasticnet,0.6238593110988953,0.0001,967,424,4,137,127,2,2,9,0.07125299613100076,42.54744150609592,0.12194299697875977
6,none,0.7640753180236921,0.001,924,136,8,747,108,5,4,11,0.030319496673153524,35.6253619782512,0.20292425155639648
7,l1,0.4089119396431343,0.01,922,962,2,789,665,5,4,8,0.026960084410754228,60.227577646524445,8.514936923980713
8,none,0.765944929741514,0.001,243,78,8,810,394,3,2,6,0.021154969758088872,86.05302448556408,0.20464348793029785
9,elasticnet,0.5053906132122153,0.001,626,764,2,121,774,7,5,8,0.030256404347496203,70.8344935300943,1.8045258522033691
10,l1,0.8525571169622167,0.0001,129,25,8,678,992,8,5,11,0.0810399392424008,6.010267087962998,0.7052502632141113
11,elasticnet,0.8145048831796499,0.0001,187,786,1,966,870,4,3,10,0.08846448133679373,77.2555593619766,4.389688968658447
12,elasticnet,0.8122892920818814,0.01,489,439,1,106,284,9,2,11,0.048278699562798455,74.33077869856088,0.9230785369873047
13,l2,0.7912343546876788,0.0001,600,892,1,238,448,7,4,10,0.03734539821334642,36.73283545955085,0.5795526504516602
14,elasticnet,0.36289149064409065,0.01,842,824,2,322,743,9,4,11,0.02532423039227747,64.02981124663515,7.112531900405884
15,elasticnet,0.6529867493039819,0.0001,256,602,-1,346,578,9,4,10,0.08675553891567878,97.55073583932464,0.608022928237915
16,l1,0.7265546257690825,0.0001,388,160,4,647,222,10,4,10,0.03959432050604991,93.53744683796724,1.504570722579956
17,elasticnet,0.690781304851139,0.0001,729,505,1,911,446,3,3,8,0.04018286920234391,80.6085541208455,6.227297067642212
18,none,0.2613448370539258,0.0001,425,736,8,842,727,4,3,9,0.09691740177502393,12.881737889352932,0.4049253463745117
19,l1,0.5263293073210211,0.0001,921,794,1,865,280,8,3,7,0.04513337341178228,5.406030416916337,9.873707294464111
20,elasticnet,0.4345463566823823,0.0001,956,537,-1,861,632,6,4,7,0.09805363519669831,49.74358203042619,4.414455890655518
21,elasticnet,0.4432927448258932,0.0001,727,941,8,686,647,7,4,8,0.09716899291506315,56.635157893323054,2.7080767154693604
22,l1,0.2160978940494742,0.001,328,34,1,538,364,2,3,9,0.010718758714768363,20.043645079659015,0.3780393600463867
23,elasticnet,0.3769574029147127,0.0001,106,623,2,590,292,8,3,10,0.06129221443038938,81.64149306683589,0.7028930187225342
24,l1,0.7100412102450089,0.01,951,557,1,402,736,7,2,9,0.013758686762367502,96.34849936468113,10.654564619064331
25,l1,0.44424189920846846,0.001,983,961,2,770,799,9,5,9,0.03221448372855811,90.03592406553527,18.028804540634155
26,elasticnet,0.7815120568448982,0.001,936,994,8,639,114,2,4,10,0.02897075876390458,50.54687237340565,0.560347318649292
27,l1,0.35302484881109786,0.01,867,540,8,851,154,10,4,11,0.0390684466568464,56.08652785752826,2.007802963256836
28,elasticnet,0.33774847464032376,0.001,385,786,4,722,649,8,3,9,0.06148966456934564,42.21558822388037,2.9074738025665283
29,l1,0.190945599065146,0.01,828,212,1,886,596,10,5,10,0.08649679280915358,83.1139591346572,25.188620805740356
30,none,0.37085527224030923,0.0001,768,811,2,790,197,5,5,8,0.09040514751173181,54.11185302213329,0.9040074348449707
31,elasticnet,0.4665676008680666,0.0001,282,731,2,641,431,3,5,6,0.04622242190613834,99.92001537410941,1.2037639617919922
32,elasticnet,0.3476680686465984,0.01,160,311,8,715,598,9,5,11,0.07097792573511091,8.369958233575417,0.9051880836486816
33,l2,0.8656025301079199,0.001,177,633,2,742,660,7,4,11,0.09282922252376316,72.73613870387048,0.5032317638397217
34,l2,0.4909080618953995,0.0001,338,998,-1,755,473,10,2,10,0.07917955336379703,11.396117670469305,0.3086965084075928
35,none,0.8558288152890633,0.001,482,541,1,184,155,6,4,11,0.04338555844159928,61.752713729781,0.12020063400268555
36,l1,0.7638242853393233,0.0001,363,88,8,553,292,4,4,8,0.009170043039172493,88.13497219662176,0.503915548324585
37,none,0.765380123231418,0.01,666,689,4,896,115,4,2,10,0.0651254222581041,93.12742015800744,0.30281877517700195
38,l2,0.6227183724196204,0.01,407,716,-1,989,888,5,3,10,0.09978589423443156,4.079502004587823,0.507683277130127
39,none,0.6078682430192985,0.0001,669,89,1,520,100,8,5,8,0.033917804392746734,74.19932455419156,0.6017816066741943
40,l1,0.15566884497245814,0.001,561,805,4,289,816,7,2,9,0.02648824810600625,81.9506471544888,1.6047289371490479
41,elasticnet,0.6828495660756693,0.01,973,558,4,428,784,3,4,9,0.0408637117069423,89.92920770812226,2.506636619567871
